Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
17535.0,18058.0,17535.0,18058.0,0.0,0.007099423066392774,60.694134697856505,28.167102371618967,2020/03/23,17795.99461466663,17795.974254661312,17265.486297343974,0.0,17795.974254661312,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,0.005263922041194746,55.9025061606917,0.005263922041194746,2020/03/24,17795.99461466663,17795.979518583354,17321.388803504666,0.0,17795.979518583354,,,,,
17535.0,18057.0,17535.0,18058.0,0.0,0.0039029757026582956,51.500839130480024,0.0039029757026582956,2020/03/25,17795.99461466663,17795.983421559056,17372.889642635146,0.0,17795.983421559056,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,0.0028938914510945324,47.47165783326636,0.0028938914510945324,2020/03/26,17795.99461466663,17795.986315450507,17420.361300468412,0.0,17795.986315450507,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,0.002145698163076304,43.793826418012024,0.002145698163076304,2020/03/27,17795.99461466663,17795.98846114867,17464.155126886424,0.0,17795.98846114867,,,,,
17535.0,18058.0,17534.0,18058.0,0.0,0.0015909445100987796,40.444296548866994,0.0015909445100987796,2020/03/28,17795.99461466663,17795.99005209318,17504.59942343529,0.0,17795.99005209318,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,0.0011796180442615878,37.39932488868362,0.0011796180442615878,2020/03/29,17795.99461466663,17795.991231711225,17541.99874832398,0.0,17795.991231711225,,,,,
17535.0,18059.0,17535.0,18058.0,0.0,0.0008746369494474493,34.635305227442586,0.0008746369494474493,2020/03/30,17795.99461466663,17795.992106348174,17576.634053551417,0.0,17795.992106348174,,,,,
17535.0,18059.0,17535.0,18057.0,0.0,0.0006485060366685502,32.12932164935046,0.0006485060366685502,2020/03/31,17795.99461466663,17795.99275485421,17608.763375200768,0.0,17795.99275485421,,,,,
17535.0,18058.0,17535.0,18057.0,0.0,0.00048083998990477994,29.859501156501214,0.00048083998990477994,2020/04/01,17795.99461466663,17795.9932356942,17638.62287635727,0.0,17795.9932356942,,,,,
17536.0,18058.0,17535.0,18058.0,0.0,0.000356523541995557,27.80522297944481,0.000356523541995557,2020/04/02,17795.99461466663,17795.993592217743,17666.428099336714,0.0,17795.993592217743,,,,,
17535.0,18058.0,17535.0,18057.0,0.0,0.00026434661049279384,25.94722696221652,0.00026434661049279384,2020/04/03,17795.99461466663,17795.993856564353,17692.37532629893,0.0,17795.993856564353,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,0.0001960017871169839,24.26765153190354,0.0001960017871169839,2020/04/04,17795.99461466663,17795.99405256614,17716.642977830834,0.0,17795.99405256614,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,0.00014532688146573491,22.75002362797023,0.00014532688146573491,2020/04/05,17795.99461466663,17795.994197893022,17739.393001458804,0.0,17795.994197893022,,,,,
17535.0,18059.0,17534.0,18058.0,0.0,0.00010775380360428244,21.37921676804035,0.00010775380360428244,2020/04/06,17795.99461466663,17795.994305646826,17760.772218226844,0.0,17795.994305646826,,,,,
17535.0,18058.0,17535.0,18057.0,0.0,7.989466030267067e-05,20.141388843083405,7.989466030267067e-05,2020/04/07,17795.99461466663,17795.994385541486,17780.913607069928,0.0,17795.994385541486,,,,,
17535.0,18059.0,17535.0,18058.0,0.0,5.9238569519948214e-05,19.023907949522254,5.9238569519948214e-05,2020/04/08,17795.99461466663,17795.994444780055,17799.93751501945,0.0,17795.994444780055,,,,,
17534.0,18058.0,17535.0,18058.0,0.0,4.392287155496888e-05,18.015272071479558,4.392287155496888e-05,2020/04/09,17795.99461466663,17795.994488702927,17817.95278709093,0.0,17795.994488702927,,,,,
17535.0,18058.0,17536.0,18058.0,0.0,3.2566935260547325e-05,17.10502671130962,3.2566935260547325e-05,2020/04/10,17795.99461466663,17795.994521269862,17835.057813802243,0.0,17795.994521269862,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,2.4146975192707032e-05,16.28368322127426,2.4146975192707032e-05,2020/04/11,17795.99461466663,17795.994545416837,17851.341497023514,0.0,17795.994545416837,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,1.7903934349305928e-05,15.542639679079,1.7903934349305928e-05,2020/04/12,17795.99461466663,17795.99456332077,17866.884136702593,0.0,17795.99456332077,,,,,
17536.0,18057.0,17535.0,18058.0,0.0,1.3275031960802153e-05,14.874105475653778,1.3275031960802153e-05,2020/04/13,17795.99461466663,17795.994576595804,17881.758242178246,0.0,17795.994576595804,,,,,
17536.0,18058.0,17534.0,18058.0,0.0,9.84286452876404e-06,14.271030288677142,9.84286452876404e-06,2020/04/14,17795.99461466663,17795.99458643867,17896.029272466923,0.0,17795.99458643867,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,7.2980765253305435e-06,13.72703780082884,7.2980765253305435e-06,2020/04/15,17795.99461466663,17795.994593736745,17909.756310267752,0.0,17795.994593736745,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,5.411198799265549e-06,13.23636426876692,5.411198799265549e-06,2020/04/16,17795.99461466663,17795.994599147944,17922.99267453652,0.0,17795.994599147944,,,,,
17535.0,18057.0,17535.0,18057.0,0.0,4.012170393252745e-06,12.793801892396006,4.012170393252745e-06,2020/04/17,17795.99461466663,17795.994603160114,17935.786476428915,0.0,17795.994603160114,,,,,
17535.0,18058.0,17536.0,18058.0,0.0,2.974989911308512e-06,12.394646836528409,2.974989911308512e-06,2020/04/18,17795.99461466663,17795.994606135104,17948.181123265444,0.0,17795.994606135104,,,,,
17535.0,18059.0,17535.0,18058.0,0.0,2.2054664441384375e-06,12.034651677895456,2.2054664441384375e-06,2020/04/19,17795.99461466663,17795.99460834057,17960.21577494334,0.0,17795.99460834057,,,,,
17536.0,18057.0,17535.0,18057.0,0.0,1.6352860257029533e-06,11.709982021948235,1.6352860257029533e-06,2020/04/20,17795.99461466663,17795.994609975856,17971.925756965287,0.0,17795.994609975856,,,,,
17535.0,18058.0,17535.0,18059.0,0.0,1.2127602531109005e-06,11.417177006522252,1.2127602531109005e-06,2020/04/21,17795.99461466663,17795.994611188617,17983.34293397181,0.0,17795.994611188617,,,,,
17534.0,18058.0,17535.0,18057.0,0.0,8.993956726044416e-07,11.153113412714449,8.993956726044416e-07,2020/04/22,17795.99461466663,17795.994612088012,17994.496047384524,0.0,17795.994612088012,,,,,
17536.0,18058.0,17534.0,18058.0,0.0,6.665322871413082e-07,10.914973085993552,6.665322871413082e-07,2020/04/23,17795.99461466663,17795.994612754545,18005.411020470518,0.0,17795.994612754545,,,,,
17535.0,18057.0,17536.0,18058.0,0.0,4.943394742440432e-07,10.700213405511024,4.943394742440432e-07,2020/04/24,17795.99461466663,17795.994613248884,18016.11123387603,0.0,17795.994613248884,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,3.6663186619989574e-07,10.506540564529132,3.6663186619989574e-07,2020/04/25,17795.99461466663,17795.994613615516,18026.617774440558,0.0,17795.994613615516,,,,,
17535.0,18058.0,17536.0,18058.0,0.0,2.716878952924162e-07,10.331885358267755,2.716878952924162e-07,2020/04/26,17795.99461466663,17795.994613887204,18036.94965979882,0.0,17795.994613887204,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,2.01231159735471e-07,10.174381309858289,2.01231159735471e-07,2020/04/27,17795.99461466663,17795.994614088435,18047.124041108684,0.0,17795.994614088435,,,,,
17536.0,18058.0,17535.0,18058.0,0.0,1.4952820492908359e-07,10.032344880593882,1.4952820492908359e-07,2020/04/28,17795.99461466663,17795.994614237963,18057.15638598928,0.0,17795.994614237963,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,1.110201992560178e-07,9.904257616934046,1.110201992560178e-07,2020/04/29,17795.99461466663,17795.994614348983,18067.060643606208,0.0,17795.994614348983,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,8.21783032733947e-08,9.788749991053919,8.21783032733947e-08,2020/04/30,17795.99461466663,17795.99461443116,18076.849393597262,0.0,17795.99461443116,,,,,
17534.0,18058.0,17535.0,18058.0,0.0,6.050322554074228e-08,9.684586839732221,6.050322554074228e-08,2020/05/01,17795.99461466663,17795.994614491665,18086.533980436998,0.0,17795.994614491665,,,,,
17536.0,18059.0,17535.0,18058.0,0.0,4.51727828476578e-08,9.590654202733276,4.51727828476578e-08,2020/05/02,17795.99461466663,17795.994614536838,18096.12463463973,0.0,17795.994614536838,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,3.383320290595293e-08,9.505947451485556,3.383320290595293e-08,2020/05/03,17795.99461466663,17795.99461457067,18105.630582091217,0.0,17795.99461457067,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,2.4752807803452015e-08,9.42956056710682,2.4752807803452015e-08,2020/05/04,17795.99461466663,17795.994614595424,18115.060142658323,0.0,17795.994614595424,,,,,
17534.0,18057.0,17535.0,18058.0,0.0,1.8022547010332346e-08,9.360676474731008,1.8022547010332346e-08,2020/05/05,17795.99461466663,17795.994614613446,18124.42081913305,0.0,17795.994614613446,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,1.350781531073153e-08,9.298558319525911,1.350781531073153e-08,2020/05/06,17795.99461466663,17795.994614626954,18133.71937745258,0.0,17795.994614626954,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,1.0772055247798562e-08,9.242541596297087,1.0772055247798562e-08,2020/05/07,17795.99461466663,17795.994614637726,18142.96191904888,0.0,17795.994614637726,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,7.443304639309645e-09,9.192027052242338,7.443304639309645e-09,2020/05/08,17795.99461466663,17795.99461464517,18152.15394610112,0.0,17795.99461464517,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,4.973117029294372e-09,9.146474299290276,4.973117029294372e-09,2020/05/09,17795.99461466663,17795.994614650142,18161.30042040041,0.0,17795.994614650142,,,,,
17535.0,18058.0,17536.0,18058.0,0.0,4.067260306328535e-09,9.10539590875851,4.067260306328535e-09,2020/05/10,17795.99461466663,17795.99461465421,18170.40581630917,0.0,17795.99461465421,,,,,
17535.0,18058.0,17535.0,18057.0,0.0,3.6707206163555384e-09,9.068352513342688,3.6707206163555384e-09,2020/05/11,17795.99461466663,17795.99461465788,18179.47416882251,0.0,17795.99461465788,,,,,
17535.0,18057.0,17535.0,18057.0,0.0,2.5138433557003736e-09,9.03494775505533,2.5138433557003736e-09,2020/05/12,17795.99461466663,17795.994614660394,18188.509116577567,0.0,17795.994614660394,,,,,
17535.0,18058.0,17535.0,18059.0,0.0,6.002665031701326e-10,9.004824241368622,6.002665031701326e-10,2020/05/13,17795.99461466663,17795.994614660995,18197.51394081893,0.0,17795.994614660995,,,,,
17535.0,18058.0,17535.0,18058.0,0.0,1.3606040738523006e-09,8.977659661479265,1.3606040738523006e-09,2020/05/14,17795.99461466663,17795.994614662355,18206.49160048041,0.0,17795.994614662355,,,,,
17536.0,18058.0,17534.0,18057.0,0.0,1.749867806211114e-09,8.953163391783164,1.749867806211114e-09,2020/05/15,17795.99461466663,17795.994614664105,18215.4447638722,0.0,17795.994614664105,,,,,
17535.0,18059.0,17535.0,18058.0,0.0,9.567884262651205e-10,8.93107333277294,9.567884262651205e-10,2020/05/16,17795.99461466663,17795.99461466506,18224.375837204967,0.0,17795.99461466506,,,,,
