Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
49574.0,50450.0,49573.0,50450.0,0.0,-4.3655745685100555e-11,4.33542379346909,-4.3655745685100555e-11,2020/05/26,50011.338331117164,50011.33833108263,50316.09017255799,0.0,50011.33833108263,,,,,
49573.0,50449.0,49573.0,50450.0,0.0,-3.637978807091713e-11,4.041277640819317,-3.637978807091713e-11,2020/05/27,50011.338331117164,50011.338331082596,50320.13145019881,0.0,50011.338331082596,,,,,
49572.0,50451.0,49573.0,50450.0,0.0,-5.093170329928398e-11,3.767088455453632,-5.093170329928398e-11,2020/05/28,50011.338331117164,50011.338331082545,50323.898538654255,0.0,50011.338331082545,,,,,
49574.0,50450.0,49574.0,50451.0,0.0,1.673470251262188e-10,3.5115022309037163,1.673470251262188e-10,2020/05/29,50011.338331117164,50011.33833108271,50327.41004088517,0.0,50011.33833108271,,,,,
49574.0,50449.02500000002,49574.0,50451.0,0.0,1.8917489796876907e-10,3.2732568059655023,1.8917489796876907e-10,2020/05/30,50011.338331117164,50011.3383310829,50330.68329769113,0.0,50011.3383310829,,,,,
49574.0,50450.0,49574.0,50451.0,0.0,-2.1827872842550278e-11,3.051175647357013,-2.1827872842550278e-11,2020/05/31,50011.338331117164,50011.33833108288,50333.73447333849,0.0,50011.33833108288,,,,,
49574.0,50450.0,49574.0,50449.0,0.0,-2.3283064365386963e-10,2.8441620728262933,-2.3283064365386963e-10,2020/06/01,50011.338331117164,50011.33833108265,50336.578635411315,0.0,50011.33833108265,,,,,
49574.0,50451.0,49574.0,50450.0,0.0,2.1827872842550278e-11,2.6511937711911737,2.1827872842550278e-11,2020/06/02,50011.338331117164,50011.33833108267,50339.22982918251,0.0,50011.33833108267,,,,,
49573.0,50451.0,49574.0,50450.0,0.0,2.0372681319713593e-10,2.4713177059966256,2.0372681319713593e-10,2020/06/03,50011.338331117164,50011.33833108287,50341.701146888496,0.0,50011.33833108287,,,,,
49573.0,50450.0,49574.0,50450.0,0.0,-4.3655745685100555e-11,2.3036458101923927,-4.3655745685100555e-11,2020/06/04,50011.338331117164,50011.33833108283,50344.00479269869,0.0,50011.33833108283,,,,,
49572.0,50450.0,49573.0,50448.0,0.0,-4.0745362639427185e-10,2.1473504014575155,-4.0745362639427185e-10,2020/06/05,50011.338331117164,50011.33833108242,50346.152143100146,0.0,50011.33833108242,,,,,
49574.0,50450.0,49574.0,50451.0,0.0,-2.1827872842550278e-10,2.0016586674246355,-2.1827872842550278e-10,2020/06/06,50011.338331117164,50011.3383310822,50348.15380176758,0.0,50011.3383310822,,,,,
49572.0,50451.0,49574.0,50451.0,0.0,5.384208634495735e-10,1.865851772927272,5.384208634495735e-10,2020/06/07,50011.338331117164,50011.33833108274,50350.019653540505,0.0,50011.33833108274,,,,,
49573.0,50449.0,49574.0,50450.0,0.0,6.475602276623249e-10,1.7392589949522517,6.475602276623249e-10,2020/06/08,50011.338331117164,50011.33833108339,50351.75891253546,0.0,50011.33833108339,,,,,
49572.975000000006,50450.0,49574.0,50451.0,0.0,0.0,1.6212552338693058,0.0,2020/06/09,50011.338331117164,50011.33833108339,50353.380167769334,0.0,50011.33833108339,,,,,
49575.0,50451.0,49574.0,50450.0,0.0,-1.2587406672537327e-09,1.511257667785685,-1.2587406672537327e-09,2020/06/10,50011.338331117164,50011.33833108213,50354.89142543711,0.0,50011.33833108213,,,,,
49574.0,50449.0,49574.0,50451.0,0.0,-7.275957614183426e-10,1.4087231391822568,-7.275957614183426e-10,2020/06/11,50011.338331117164,50011.3383310814,50356.30014857629,0.0,50011.3383310814,,,,,
49573.0,50450.0,49573.0,50450.0,0.0,1.2005330063402653e-09,1.3131452914312831,1.2005330063402653e-09,2020/06/12,50011.338331117164,50011.3383310826,50357.613293867726,0.0,50011.3383310826,,,,,
49574.0,50450.0,49573.0,50450.0,0.0,1.673470251262188e-09,1.2240521352141511,1.673470251262188e-09,2020/06/13,50011.338331117164,50011.33833108428,50358.83734600294,0.0,50011.33833108428,,,,,
