,Date,Remain_confirm,Official_confirmed,Predict_confirm,Dailynew_confirm,Predict_actual
109,2020/05/29,0.0,,80749.83103912664,2.2191670723259452e-10,80749.83103916775
110,2020/05/30,0.0,,80749.83103912689,2.419255906715989e-10,80749.83103916775
111,2020/05/31,0.0,,80749.8310391269,1.2732925824820999e-11,80749.83103916775
112,2020/06/01,0.0,,80749.8310391267,-1.9463186617940664e-10,80749.83103916775
113,2020/06/02,0.0,,80749.83103912676,4.7293724492192275e-11,80749.83103916775
114,2020/06/03,0.0,,80749.83103912696,2.1645973902195697e-10,80749.83103916775
115,2020/06/04,0.0,,80749.83103912692,-4.1836756281554705e-11,80749.83103916775
116,2020/06/05,0.0,,80749.83103912653,-3.9108272176235925e-10,80749.83103916775
117,2020/06/06,0.0,,80749.83103912632,-1.9645085558295255e-10,80749.83103916775
118,2020/06/07,0.0,,80749.83103912688,5.493347998708487e-10,80749.83103916775
119,2020/06/08,0.0,,80749.83103912753,6.421032594516873e-10,80749.83103916775
120,2020/06/09,0.0,,80749.83103912752,-9.094947017729284e-12,80749.83103916775
121,2020/06/10,0.0,,80749.83103912626,-1.2441887520253658e-09,80749.83103916775
122,2020/06/11,0.0,,80749.8310391256,-6.803020369261503e-10,80749.83103916775
123,2020/06/12,0.0,,80749.83103912685,1.2569216778501868e-09,80749.83103916775
124,2020/06/13,0.0,,80749.8310391285,1.648004399612546e-09,80749.83103916775
125,2020/06/14,0.0,,80749.83103912853,5.275069270282981e-11,80749.83103916775
126,2020/06/15,0.0,,80749.83103912533,-3.219611244276166e-09,80749.83103916775
127,2020/06/16,0.0,,80749.83103912382,-1.5115801943466067e-09,80749.83103916775
128,2020/06/17,0.0,,80749.83103912792,4.116373020224273e-09,80749.83103916775
129,2020/06/18,0.0,,80749.83103913406,6.120899342931808e-09,80749.83103916775
130,2020/06/19,0.0,,80749.83103913619,2.130036591552198e-09,80749.83103916775
131,2020/06/20,0.0,,80749.8310391243,-1.1894371709786354e-08,80749.83103916775
132,2020/06/21,0.0,,80749.8310391049,-1.939588401000947e-08,80749.83103916775
133,2020/06/22,0.0,,80749.83103910838,3.479726728983224e-09,80749.83103916775
134,2020/06/23,0.0,,80749.83103912053,1.2152668205089867e-08,80749.83103916775
135,2020/06/24,0.0,,80749.83103910682,-1.370972313452512e-08,80749.83103916775
136,2020/06/25,0.0,,80749.83103910569,-1.1277734301984308e-09,80749.83103916775
137,2020/06/26,0.0,,80749.8310391164,1.0704752639867364e-08,80749.83103916775
138,2020/06/27,0.0,,80749.83103912068,4.2800820665433995e-09,80749.83103916775
139,2020/06/28,0.0,,80749.83103912369,3.0158844310790296e-09,80749.83103916775
140,2020/06/29,0.0,,80749.83103912842,4.722096491605043e-09,80749.83103916775
141,2020/06/30,0.0,,80749.83103912816,-2.728484105318785e-10,80749.83103916775
142,2020/07/01,0.0,,80749.83103912816,9.094947017729282e-12,80749.83103916775
143,2020/07/02,0.0,,80749.8310391278,-3.3105607144534593e-10,80749.83103916775
144,2020/07/03,0.0,,80749.83103912823,4.0563463699072594e-10,80749.83103916775
145,2020/07/04,0.0,,80749.83103912853,3.0740920919924974e-10,80749.83103916775
146,2020/07/05,0.0,,80749.83103912852,-1.4551915228366855e-11,80749.83103916775
147,2020/07/06,0.0,,80749.83103912853,1.2732925824820995e-11,80749.83103916775
148,2020/07/07,0.0,,80749.8310391285,-2.7284841053187847e-11,80749.83103916775
149,2020/07/08,0.0,,80749.8310391285,-7.275957614183426e-12,80749.83103916775
150,2020/07/09,0.0,,80749.83103912846,-2.9103830456733704e-11,80749.83103916775
151,2020/07/10,0.0,,80749.83103912848,-3.637978807091713e-12,80749.83103916775
152,2020/07/11,0.0,,80749.83103912842,-4.7293724492192275e-11,80749.83103916775
153,2020/07/12,0.0,,80749.83103912843,2.546585164964199e-11,80749.83103916775
154,2020/07/13,0.0,,80749.83103912855,1.0186340659856796e-10,80749.83103916775
155,2020/07/14,0.0,,80749.83103912887,3.2014213502407074e-10,80749.83103916775
156,2020/07/15,0.0,,80749.83103912917,2.9285729397088294e-10,80749.83103916775
157,2020/07/16,0.0,,80749.83103912926,1.0732037480920553e-10,80749.83103916775
158,2020/07/17,0.0,,80749.83103912906,-2.1827872842550273e-10,80749.83103916775
159,2020/07/18,0.0,,80749.83103912875,-2.9285729397088294e-10,80749.83103916775
160,2020/07/19,0.0,,80749.8310391288,3.8198777474462986e-11,80749.83103916775
161,2020/07/20,0.0,,80749.83103912894,1.5643308870494368e-10,80749.83103916775
162,2020/07/21,0.0,,80749.83103912888,-6.184563972055911e-11,80749.83103916775
163,2020/07/22,0.0,,80749.83103912832,-5.711626727133989e-10,80749.83103916775
164,2020/07/23,0.0,,80749.83103912786,-4.54747350886464e-10,80749.83103916775
165,2020/07/24,0.0,,80749.83103912814,2.8558133635669947e-10,80749.83103916775
166,2020/07/25,0.0,,80749.83103912903,8.822098607197404e-10,80749.83103916775
167,2020/07/26,0.0,,80749.83103912999,9.622453944757583e-10,80749.83103916775
168,2020/07/27,0.0,,80749.83103912948,-5.093170329928397e-10,80749.83103916775
169,2020/07/28,0.0,,80749.83103912754,-1.9481376511976123e-09,80749.83103916775
170,2020/07/29,0.0,,80749.83103912658,-9.49512468650937e-10,80749.83103916775
171,2020/07/30,0.0,,80749.8310391278,1.216903910972178e-09,80749.83103916775
172,2020/07/31,0.0,,80749.83103913121,3.4124241210520276e-09,80749.83103916775
173,2020/08/01,0.0,,80749.83103913361,2.3919710656628013e-09,80749.83103916775
174,2020/08/02,0.0,,80749.83103912992,-3.6907294997945436e-09,80749.83103916775
175,2020/08/03,0.0,,80749.831039124,-5.9117155615240335e-09,80749.83103916775
176,2020/08/04,0.0,,80749.83103912501,1.014996087178588e-09,80749.83103916775
177,2020/08/05,0.0,,80749.83103912757,2.55931809078902e-09,80749.83103916775
178,2020/08/06,0.0,,80749.83103912964,2.0736479200422764e-09,80749.83103916775
179,2020/08/07,0.0,,80749.83103913045,8.039933163672685e-10,80749.83103916775
180,2020/08/08,0.0,,80749.83103913005,-4.092726157978177e-10,80749.83103916775
181,2020/08/09,0.0,,80749.83103913045,4.129105946049094e-10,80749.83103916775
182,2020/08/10,0.0,,80749.83103913034,-1.073203748092055e-10,80749.83103916775
183,2020/08/11,0.0,,80749.83103913031,-5.6388671509921564e-11,80749.83103916775
184,2020/08/12,0.0,,80749.83103913048,1.9099388737231493e-10,80749.83103916775
185,2020/08/13,0.0,,80749.83103913066,1.8735590856522322e-10,80749.83103916775
186,2020/08/14,0.0,,80749.8310391309,2.4192559067159886e-10,80749.83103916775
187,2020/08/15,0.0,,80749.83103913112,2.0736479200422766e-10,80749.83103916775
188,2020/08/16,0.0,,80749.83103913107,-5.275069270282984e-11,80749.83103916775
189,2020/08/17,0.0,,80749.83103913092,-1.4733814168721437e-10,80749.83103916775
190,2020/08/18,0.0,,80749.83103913083,-9.822542779147628e-11,80749.83103916775
191,2020/08/19,0.0,,80749.8310391308,-2.9103830456733704e-11,80749.83103916775
192,2020/08/20,0.0,,80749.83103913086,7.639755494892597e-11,80749.83103916775
193,2020/08/21,0.0,,80749.831039131,1.2187229003757238e-10,80749.83103916775
194,2020/08/22,0.0,,80749.83103913104,5.275069270282984e-11,80749.83103916775
195,2020/08/23,0.0,,80749.83103913108,3.637978807091713e-11,80749.83103916775
196,2020/08/24,0.0,,80749.83103913107,-1.8189894035458552e-11,80749.83103916775
197,2020/08/25,0.0,,80749.8310391309,-1.5643308870494366e-10,80749.83103916775
198,2020/08/26,0.0,,80749.83103913108,1.764419721439481e-10,80749.83103916775
199,2020/08/27,0.0,,80749.83103913128,2.000888343900442e-10,80749.83103916775
200,2020/08/28,0.0,,80749.83103913152,2.3464963305741554e-10,80749.83103916775
201,2020/08/29,0.0,,80749.83103913175,2.346496330574155e-10,80749.83103916775
202,2020/08/30,0.0,,80749.8310391319,1.4551915228366852e-10,80749.83103916775
203,2020/08/31,0.0,,80749.83103913185,-5.6388671509921564e-11,80749.83103916775
204,2020/09/01,0.0,,80749.83103913175,-7.821654435247183e-11,80749.83103916775
205,2020/09/02,0.0,,80749.83103913174,-2.182787284255027e-11,80749.83103916775
