Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
21815.0,22398.0,16202.0,16704.025000000023,12.405972059437772,494.55643787831286,126.63632977784164,2020/04/13,22105.81259259856,16452.70474144009,14886.830867649007,1565.8738737910844,,,,
21822.0,22405.0,16654.0,17164.0,7.465057241352042,455.5161395200812,129.62120241264824,2020/04/14,22113.27764983991,16908.220880960173,15212.72580475644,1695.4950762037327,,,,
21827.0,22410.0,17069.0,17585.0,4.446593776825466,419.3059670008661,132.25795889462165,2020/04/15,22117.724243616736,17327.52684796104,15499.773812862684,1827.7530350983543,,,,
21829.0,22412.0,17453.0,17974.0,2.625368664321286,385.82110664262655,134.5734363148531,2020/04/16,22120.349612281057,17713.347954603665,15751.021483190458,1962.3264714132074,,,,
21831.0,22414.0,17805.0,18333.0,1.5383040371671086,354.9181926553829,136.5931595338152,2020/04/17,22121.887916318225,18068.266147259048,15969.346516312025,2098.9196309470226,,,,
21832.0,22415.0,18129.0,18661.0,0.895476253637753,326.43568169490754,138.34111587553116,2020/04/18,22122.783392571862,18394.701828953956,16157.441082131401,2237.2607468225538,,,,
21833.0,22415.0,18427.0,18963.0,0.5183852609879978,300.20657927915454,139.83967154683796,2020/04/19,22123.30177783285,18694.90840823311,16317.807989863719,2377.1004183693917,,,,
21833.0,22417.0,18701.0,19241.0,0.2986930536972068,276.0660501915336,141.10957439841422,2020/04/20,22123.600470886548,18970.974458424644,16452.764465656837,2518.209992767806,,,,
21833.0,22416.0,18954.0,19497.0,0.1714443538839987,253.85572112013324,142.17000664245052,2020/04/21,22123.77191524043,19224.830179544777,16564.45018013452,2660.3799994102565,,,,
21832.0,22416.0,19185.0,19732.0,0.09809944214794086,233.42590786168512,143.03866438926934,2020/04/22,22123.87001468258,19458.256087406462,16654.837423606936,2803.418663799526,,,,
21833.0,22416.0,19398.0,19949.0,0.05599456415438908,214.63657823466565,143.73184970971352,2020/04/23,22123.926009246734,19672.892665641128,16725.74215213189,2947.1505135092393,,,,
21833.0,22416.0,19594.0,20148.0,0.03190256740344921,197.3575688320634,144.26456667140565,2020/04/24,22123.957911814137,19870.25023447319,16778.835154292545,3091.415080180645,,,,
21832.0,22416.0,19774.0,20329.0,0.01815291809543851,181.46837854193654,144.6506164146649,2020/04/25,22123.976064732233,20051.718613015128,16815.65291641982,3236.06569659531,,,,
